2 tussenuren achter elkaar gehad
3 minuten gelden ging ik met stijn een app op me tel spelen
Aan een project gewerkt van bio
Aangekleed-haar gedaan
Aardrijkskunde en scheikunde geleerd
Aardrijkskunde les gehad
afspreken met bram!
AK geleerd voor mijn SE van morgen
AK heleerd
Al mijn boek verslagen door lezen voor het SE van morgen
Alleen op de crossfiets gezeten
Alles gepakt voor het strand.
Alles klaargezet voor mijn verjaardag
Arda en ik hebben gepraat over games en youtube
Arda zei dat hij een nieuwe computer heeft gekocht
Avond gegeten
Bankhangen- yt- Netflix
BBQ als afsluiting van het seizoen met mijn team.
Ben begonnen aan een nieuwe serie
ben in een pretpark!
Ben me serie verder gaan kijken
Ben mijn serie verder gaan kijken
Ben naar het bos gegaan
Ben net naar de sportschool gegaan
ben op n feestje!
Bewegings opdrachten met de bewoners gedaan.
Bij de kerk geweest er was een preek
Bij opa op bezoek
Bingo gedaan met een mannelijke bewoner.
Biologie en wiskunde geleerd
Biologie geleerd
Biologie les gehad eerst uitleg en daarna praktische opdracht.
Biologie les gehad.
Blik gooien met de oude mensen.
Boekverslag over het boek pijn gemaakt.
Boodschappen met mijn moeder gedaan.
Corvee
De B kinderen leren duiken.
De bewoners geholpen met ontbijten.
De heren en dames wedstrijden gekeken.
De kapper kwam om me haar te knippen en we hebben even bij gekletst.
De loopband (cardio) en kracht training
De musical top 50 geluisterd tijdens het koken
De nagels van een vrouwelijke bewoner gelakt.
De namen van planten op zoeken
"De netflix serie The Frankenstein chronicels"" met mijn broer gekeken."""
de serie peaky blinders gekeken.
De verjaardag van mijn oma gevierd.
De verjaardag van mijn oma vieren we.
De waterpolowedstrijd van mn broer gekeken en de andere die er vandaag zijn.
Door een nieuwbouw wijk gefietst
Doordat er een nieuwe weg gemaakt werd onderweg naar huis moest ik omfietsen.
Doordat ik nu 1 keer naar de Starbucks ben geweest heb ik gelijk een verslaving eraan
Drie kwartier naar school gefietst
Duits geleerd
Duits SE gemaakt
Economie en natuurkunde geleerd
Economie en natuurkunde SE gemaakt
een documentaire gekeken
Een Engels toets gemaakt
Een fanfic gelezen
Een film gekeken die ik nog niet kende met een leuke actrice
Een film gekeken net een vriendin.
